Pagina,Id,Code,Omschrijving,Groep,Omrekenfactor,Dimensie,Begin geldigheid,Gerelateerd
gram per kubieke meter,185,g/m3,gram per kubieke meter,SI afgeleide eenheid,0.001,M/L3,2012-12-11,
gram per vierkante meter,184,g/m2,gram per vierkante meter,SI afgeleide eenheid,0.001,M/L2,2012-12-11,
gram per inwoner equivalent,183,g/ie,gram per inwoner equivalent,Overig,,,2011-06-10,
gram per deciliter,182,g/dl,gram per deciliter,SI afgeleide eenheid,10,M/L3,2011-06-10,
gram per dag,181,g/d,gram per dag,SI afgeleide eenheid,1.157407E-08,M/T,2012-12-11,
gram per jaar,180,g/a,gram per jaar,SI afgeleide eenheid,,M/T,2011-06-10,
microsiemens per centimeter,18,uS/cm,microsiemens per centimeter,SI afgeleide eenheid,0.0001,T3I2/L3M,2012-12-11,
Formazine Turbidity Unit,179,FTU,Formazine Turbidity Unit,Overig,,,2011-06-10,
deciseconde,178,ds,deciseconde,SI afgeleide eenheid,0.1,T,2012-12-11,
decigraad Celsius,177,doC,decigraad Celsius,SI afgeleide eenheid,0.1,O,2012-12-11,
kubieke decimeter per seconde,176,dm3/s,kubieke decimeter per seconde,SI afgeleide eenheid,0.001,L3/T,2012-12-11,
decimeter per seconde,175,dm/s,decimeter per seconde,SI afgeleide eenheid,0.1,L/T,2012-12-11,
decimeter,174,dm,decimeter,SI afgeleide eenheid,0.1,L,2012-12-11,
decibar,173,dbar,decibar,SI niet-SI-eenheid,10000,M/LT2,2011-09-27,
decibel,172,dB,decibel,Overig,,,2011-09-27,
dag,171,d,dag,SI niet-SI-eenheid,86400,T,2020-12-01,
centiseconde,170,cs,centiseconde,SI afgeleide eenheid,0.01,T,2012-12-11,
micrometer,17,um,micrometer,SI afgeleide eenheid,0.000001,L,2012-12-11,
centigraad Celsius,169,coC,centigraad Celsius,SI afgeleide eenheid,0.01,O,2012-12-11,
vierkante centimeter seconde,168,cm2s,vierkante centimeter seconde,SI afgeleide eenheid,0.0001,L2T,2012-12-11,
vierkante centimeter per hertz,167,cm2/Hz,vierkante centimeter per hertz,SI afgeleide eenheid,0.0001,L2T,2012-12-11,
centimeter per seconde,166,cm/s,centimeter per seconde,SI afgeleide eenheid,0.01,L/T,2012-12-11,
becquerel per kubieke meter,165,Bq/m3,becquerel per kubieke meter,SI afgeleide eenheid,1,/L3T,2011-06-10,
becquerel per kilogram,164,Bq/kg,becquerel per kilogram,SI afgeleide eenheid,1,/MT,2011-06-10,
bar,163,bar,bar,SI niet-SI-eenheid,100000,M/LT2,2011-06-10,bar
Beaufort,162,B,Beaufort,Overig,,,2011-06-10,
ampère,161,A,ampère,SI grondeenheid,1,I,2011-06-10,
promille,160,‰,promille,Overig,,,2011-06-10,
microliter per liter,16,ul/l,microliter per liter,,1e-06,L3/L3,2021-12-10,
microgram per liter,14,ug/l,microgram per liter,SI afgeleide eenheid,1e-06,M/L3,2025-11-28,
jaar,137,a,jaar,SI niet-SI-eenheid,,T,2011-06-10,
kilowatt,135,kW,kilowatt,SI afgeleide eenheid,1000,L2M/T3,2011-06-10,
parts per million,132,ppm,parts per million,Overig,,,2011-06-10,parts per million
microgram per kilogram,131,ug/kg,microgram per kilogram,SI afgeleide eenheid,0.000000001,M/M,2013-03-16,
dimensieloos,119,DIMSLS,dimensieloos,Overig,,,2011-06-10,
graad,118,graad,graad,Overig,,,2021-12-10,
meter per seconde,117,m/s,meter per seconde,SI afgeleide eenheid,1,L/T,2011-06-10,
exemplaren,116,n,exemplaren,Aantal,1,X,2011-06-10,
meter,115,m,meter,SI grondeenheid,1,L,2011-06-10,
procent,1,%,procent,Overig,,,2025-11-28,
